id,row_index,col_index,P_2001mean,P_2002mean,P_2003mean,P_2004mean,P_2005mean,P_2006mean,P_2007mean,P_2008mean,P_2009mean,P_2010mean,P_2011mean,P_2012mean,P_2013mean,P_2014mean,P_2015mean,P_2016mean,P_2017mean,P_2018mean,P_2019mean,P_2020mean
1848,87,16,2578.936647,3154.96705,3273.702776,3581.113787,3294.162849,4147.282539,3185.411906,3856.339029,3161.330344,3275.813901,2814.147124,3272.080571,3030.660753,3656.595126,4206.229492,2781.928172,3248.423858,3694.830764,3622.379617,2686.37773
1849,88,16,2554.935803,3137.625341,3242.05085,3555.88466,3268.501415,4115.446097,3165.812789,3813.047711,3127.994105,3255.975326,2789.98211,3258.09038,3009.396145,3629.532066,4167.952356,2774.117517,3228.396666,3665.038847,3597.402929,2659.696691
1850,89,16,2544.086921,3134.206782,3228.436679,3546.178293,3256.760199,4104.547186,3163.866878,3788.64849,3110.445184,3249.97201,2784.128241,3261.168711,3005.117186,3622.109532,4151.014832,2776.585456,3224.34473,3651.654869,3593.426247,2648.518622
1851,90,16,2545.942386,3149.929508,3234.915952,3561.905446,3266.934253,4124.895279,3187.911207,3797.901718,3116.923069,3262.921713,2798.926119,3288.911885,3019.917985,3636.91019,4164.892229,2796.929847,3241.918663,3660.909513,3611.921713,2655.924086
1852,91,16,2516.990896,3127.740505,3198.246463,3531.03357,3237.01867,4086.301487,3158.967773,3746.752159,3076.38883,3233.009736,2771.909333,3270.590781,2994.835653,3599.277391,4118.573083,2779.569575,3213.93921,3624.241734,3581.045657,2625.04697
1853,92,16,2484.094362,3099.284224,3155.854131,3493.88464,3198.2177,4046.363093,3126.082367,3691.263308,3034.695761,3195.890932,2740.76543,3246.472513,2965.439645,3560.208852,4066.615473,2758.835493,3182.763071,3581.851182,3547.248603,2588.731972
1854,93,16,2469.124243,3089.892604,3137.07258,3482.205535,3182.122279,4032.15738,3121.342138,3666.660253,3016.073703,3180.800786,2732.936267,3246.06894,2957.934302,3543.434508,4047.430017,2756.345928,3175.616459,3564.433946,3549.163004,2575.165521
1855,94,16,2446.231988,3071.697914,3108.784897,3457.276769,3156.268711,4004.793902,3103.226823,3631.845859,2986.304581,3154.772943,2714.709659,3232.68241,2939.708389,3513.809187,4014.844244,2745.140611,3156.227646,3534.808833,3549.532957,2550.761157
1856,95,16,2413.4655,3042.386719,3070.54116,3417.387468,3120.157424,3963.386617,3071.385471,3584.849984,2945.926484,3116.003732,2685.923976,3206.537858,2910.308279,3471.080527,3966.003914,2722.846558,3124.693433,3491.465341,3540.151728,2514.849349
1857,96,16,2381.935258,3013.23947,3037.23947,3378.783152,3087.326834,3925.847894,3043.152106,3542.783152,2910.631046,3078.174728,2661.456318,3184.673166,2884.304212,3431.47894,3919.783152,2700,3097.152106,3449.870516,3531.715286,2480.870516
